"Class","Order","Family","Genus","Species","Study","M (kg)","FMR (kJ / day)"
"Mammalia","Carnivora","Odobenidae","Odobenus","rosmarus","Acquarone et al 2006",1370,345000
"Mammalia","Carnivora","Odobenidae","Odobenus","rosmarus","Acquarone et al 2006",1250,417400
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",7.4,3100
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",6.95,2898
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",8.9,3528
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",9.6,3881
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",9.4,3830
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",9.3,4284
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",9.35,3906
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",8.15,2386
"Aves","Procellariiformes","Diomedeidae","Diomedea","exulans","Adams et al 1986",6.7,2374
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",32.75,17430.336
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",45.5,20049.12
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",38.5,22952.16
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",40.5,26453.952
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",39,16174.08
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",32.25,21594.6
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",37.25,18956.376
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",37.25,17829.936
"Mammalia","Carnivora","Otariidae","Arctocephalus","gazella","Arnould et al 1996",28.25,12521.304
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",0.795,1036.8
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.252,1347.84
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.09,1728
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.08,1555.2
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.08,1373.76
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.08,803.52
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.002,794.88
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.05,1287.36
"Aves","Pelecaniformes","Sulidae","Sula","sula","Ballance 1995",1.2,1097.28
